Map,Mode,Team,Handle,Canonical,Kills,Deaths,DMG,Heals,Caps
M1,CTF,RED,lordd90,lorddicys,100,,18578,3066,0
M1,CTF,RED,abosty,abosty,84,,13542,5703,11
M1,CTF,RED,arrchonn,arrchonn,74,,9499,2427,4
M1,CTF,RED,outpasts,outpasts,59,,9332,5163,1
M1,CTF,RED,nullhunter,nullhunter,43,,9966,2997,0
M1,CTF,RED,h3untrix,h3untrix,37,,7352,3297,0
M1,CTF,RED,SoylentDingleBerry,SoylentDingleBerry,31,,4752,6357,6
M1,CTF,RED,byfroncantstopghost,byfroncantstopghost,25,,5228,6048,1
M1,CTF,RED,thundercxdes,thundercxdes,25,,5772,5127,4
M1,CTF,RED,Zylosian,Zylosian,24,,5055,4665,1
M1,CTF,RED,Xxjake_zx,Xxjake_zx,23,,6318,4995,1
M1,CTF,RED,G4ME4LL,G4ME4LL,19,,5001,4239,3
M1,CTF,BLUE,Khritus,khritus,105,,18256,3648,3
M1,CTF,BLUE,goatvicts,goatvicts,83,,15566,2916,0
M1,CTF,BLUE,J1HNY,J1HNY,83,,15702,3777,0
M1,CTF,BLUE,G2_RCM,G2_RCM,71,,11005,4845,2
M1,CTF,BLUE,Vr1tux,Vr1tux,51,,8555,2835,6
M1,CTF,BLUE,Enkhio,Enkhio,50,,8950,3771,5
M1,CTF,BLUE,deezmvn,deezmvn,50,,13489,3291,2
M1,CTF,BLUE,menter,menter,42,,10005,5637,12
M1,CTF,BLUE,MeepCitense_59,MeepCitense_59,19,,3795,3768,1
M1,CTF,BLUE,medvai2,medvai2,19,,4920,2310,0
M1,CTF,BLUE,Camtheboi14,Camtheboi14,17,,3783,3345,3
M1,CTF,BLUE,Johnnyy_Walker,Johnnyy_Walker,13,,1948,936,0
M2,CTF,RED,Khritus,khritus,77,,13648,2679,5
M2,CTF,RED,aspirrant,aspirrant,59,,11839,4638,4
M2,CTF,RED,jawsator,jawsator,58,,9537,2499,3
M2,CTF,RED,FIBRAA,FIBRAA,58,,14137,5031,5
M2,CTF,RED,blacklisting,blacklisting,57,,14214,4083,2
M2,CTF,RED,SnowAtor,SnowAtor,53,,11740,4791,4
M2,CTF,RED,vertispace,vertispace,51,,12110,5064,3
M2,CTF,RED,handprlnt,handprlnt,39,,8986,3405,9
M2,CTF,RED,Enigmatic_Compon,Enigmatic_Compon,33,,8816,6417,5
M2,CTF,RED,LoyalReaper,LoyalReaper,27,,6875,5880,7
M2,CTF,RED,battlebans,battlebans,16,,3495,6384,3
M2,CTF,RED,swimmervicen,swimmervicen,11,,3354,7599,4
M2,CTF,BLUE,t_enshimaster,t_enshimaster,81,,11431,3873,3
M2,CTF,BLUE,shaq966,shaquillee,76,,15564,5016,4
M2,CTF,BLUE,osaidasasldik2,osaidasasldik2,70,,14357,4827,4
M2,CTF,BLUE,pastvayne,pastvayne,65,,13423,4797,3
M2,CTF,BLUE,TarBlackCoonMonkey,TarBlackCoonMonkey,61,,12112,2760,1
M2,CTF,BLUE,Noctor765_YT,Noctor765_YT,49,,8118,4449,4
M2,CTF,BLUE,Oxledus,Oxledus,45,,10328,7005,10
M2,CTF,BLUE,grenegublin,grenegublin,44,,7611,6084,7
M2,CTF,BLUE,265jah,265jah,28,,10532,4176,3
M2,CTF,BLUE,WETLOVOTIRAGINGDUC,WETLOVOTIRAGINGDUC,24,,5613,7017,20
M2,CTF,BLUE,ValorExostylx,ValorExostylx,9,,2365,6285,8
M2,CTF,BLUE,kuurb,kuurb,1,,701,276,0
M3,RAID,VAK,V_iridian,V_iridian,135,84,18356,1586,
M3,RAID,VAK,pamsbeamedu,p_ams,111,88,15797,2284,
M3,RAID,VAK,JakeAtlantis,JakeAtlantis,99,64,15460,1466,
M3,RAID,VAK,omwvin,omwvin,97,63,12919,1996,
M3,RAID,VAK,SN_Apyrzional,SN_Apyrzional,95,84,12225,2754,
M3,RAID,VAK,d9riaa,d9riaa,91,77,11413,1420,
M3,RAID,VAK,youngcion,youngcion,79,69,11976,2110,
M3,RAID,VAK,exRatchet,exRatchet,73,69,9922,4512,
M3,RAID,VAK,shugharts,stavcks,53,31,7977,1198,
M3,RAID,VAK,PAWSKELLYMERC,PAWSKELLYMERC,43,18,5124,578,
M3,RAID,VAK,omwsnax,omwsnax,41,69,6803,2030,
M3,RAID,VAK,CynicalFishy,CynicalFishy,39,80,4980,2522,
M3,RAID,VAK,omwvalk,omwvalk,32,20,4879,872,
M3,RAID,VAK,handprlnt,handprlnt,30,42,5090,1568,
M3,RAID,VAK,bloodinbeijing,bloodinbeijing,23,87,4033,1074,
M3,RAID,RAID,Khritus,khritus,136,60,19143,2050,
M3,RAID,RAID,Apocryphae,Apocryphae,116,64,15247,1954,
M3,RAID,RAID,Vyprahul,Vyprahul,97,84,13937,2756,
M3,RAID,RAID,Bolifax,Bolifax,86,82,12122,1560,
M3,RAID,RAID,Enchzx,Enchzx,65,71,8061,2086,
M3,RAID,RAID,MrCometDusts,MrCometDusts,48,80,7570,1370,
M3,RAID,RAID,Austingani3,Austingani3,42,55,6944,2446,
M3,RAID,RAID,PANSTAT99,PANSTAT99,37,81,5716,2068,
M3,RAID,RAID,RedactedSightz,RedactedSightz,28,96,5038,2158,
M3,RAID,RAID,Desoleum,desoleum,26,115,4800,1980,
M3,RAID,RAID,damenought,damejulio1942,23,28,4235,352,
M3,RAID,RAID,Azuracy,Azuracy,19,35,3251,1342,
M3,RAID,RAID,Asteyrius,Asteyrius,3,4,792,62,
M3,RAID,RAID,awespell,awespell,2,13,500,386,
M4,CTF,RED,jawsator,jawsator,70,,8447,3180,0
M4,CTF,RED,evilnura,evilnura,65,,12073,2835,7
M4,CTF,RED,accelfrenzy,accelfrenzy,50,,11751,6660,6
M4,CTF,RED,crash6474,crash6474,47,,9246,4386,2
M4,CTF,RED,highlyy,highlyy,46,,8465,4524,9
M4,CTF,RED,Avaitron,Avaitron,45,,9131,4407,1
M4,CTF,RED,m_jor,m_jor,44,,7648,4671,0
M4,CTF,RED,KILLMAN,KILLMAN,44,,10478,4650,4
M4,CTF,RED,FreedomReaper,FreedomReaper,42,,9573,4494,4
M4,CTF,RED,lolxdroflhahah,DoctorKhel,39,,9265,6471,6
M4,CTF,RED,nqthcn,nqthcn,38,,11243,6048,6
M4,CTF,RED,pastvayne,pastvayne,31,,5836,6783,13
M4,CTF,BLUE,Skuullzz,khritus,64,,12752,3168,2
M4,CTF,BLUE,c9iro,c9iro,62,,14802,2448,1
M4,CTF,BLUE,racvk,racvk,59,,12696,2643,3
M4,CTF,BLUE,flawstad_imrecording,flawstad_imrecording,56,,10865,4605,2
M4,CTF,BLUE,c_spian,c4spian,56,,8692,3294,1
M4,CTF,BLUE,t_enshimaster,t_enshimaster,50,,7553,7089,3
M4,CTF,BLUE,aspirrant,aspirrant,47,,9431,3948,8
M4,CTF,BLUE,grenegublin,grenegublin,43,,7323,5805,5
M4,CTF,BLUE,hvax,HVAX,43,,9167,3915,0
M4,CTF,BLUE,CoolAndrewNumber1,CoolAndrewNumber1,38,,9223,7872,10
M4,CTF,BLUE,FIBRAA,FIBRAA,29,,26274,4314,8
M5,CTF,RED,(obscured),(obscured),66,,13147,5715,1
M5,CTF,RED,eviljarl,Colonelpwn2,63,,7985,4701,2
M5,CTF,RED,aspirrant,aspirrant,57,,11091,4074,1
M5,CTF,RED,Xialafils,Xialafils,55,,11250,5553,2
M5,CTF,RED,FIBRAA,FIBRAA,53,,12171,4755,2
M5,CTF,RED,dualyy,dualyy,50,,8627,5589,8
M5,CTF,RED,flawstad_imrecording,flawstad_imrecording,50,,12428,4818,0
M5,CTF,RED,fireschoolbus1,fireschoolbus1,47,,10361,7611,11
M5,CTF,RED,chocolatemilk24719,chocolatemilk24719,45,,9354,5232,9
M5,CTF,RED,grenegublin,grenegublin,45,,7559,6399,5
M5,CTF,BLUE,uhvisrayshn,evis2026,75,,13869,5463,5
M5,CTF,BLUE,lsxaiah,lsxaiah,58,,12978,4581,1
M5,CTF,BLUE,evilchxw,evilchxw,56,,11900,4389,7
M5,CTF,BLUE,lmk,lmk,55,,9604,3660,2
M5,CTF,BLUE,VESPA_HUNTER,VESPA_HUNTER,54,,9725,6312,2
M5,CTF,BLUE,x2askl7z3n57vn,x2askl7z3n57vn,53,,13431,4359,1
M5,CTF,BLUE,Stratvgy,Stratvgy,48,,7503,7113,14
M5,CTF,BLUE,evilcola,evilcola,45,,10303,3159,2
M5,CTF,BLUE,CoolAndrewNumber1,CoolAndrewNumber1,45,,10282,3072,1
M5,CTF,BLUE,blackovian9,asunaspace,40,,8601,5001,5
M6,RAID,VAK,Khritus,khritus,116,67,15259,2782,
M6,RAID,VAK,aspirrant,aspirrant,116,76,15921,1914,
M6,RAID,VAK,pastvayne,pastvayne,96,54,15116,3160,
M6,RAID,VAK,vursaceeee,stavcks,89,84,13355,1806,
M6,RAID,VAK,c4spian,c4spian,89,56,13069,2136,
M6,RAID,VAK,grenegublin,grenegublin,76,83,10768,2404,
M6,RAID,VAK,tobehonestba,tobehonestba,72,59,8413,2752,
M6,RAID,VAK,Waxer222,Waxer222,70,86,12768,2224,
M6,RAID,VAK,cf0921,cf0921,66,66,11605,3288,
M6,RAID,VAK,omwlilbro,omwlilbro,62,89,9771,1554,
M6,RAID,VAK,qirvv,qirvv,50,70,8229,4606,
M6,RAID,VAK,lv3_l,lv3_l,41,73,6998,3710,
M6,RAID,RAID,hecactia,hecactia,99,72,17869,2536,
M6,RAID,RAID,8kr6,8kr6,82,89,11720,1990,
M6,RAID,RAID,pamsbeamedu,p_ams,78,76,12132,2974,
M6,RAID,RAID,CAKEOSITYZ,cakeosityz,76,82,11773,3110,
M6,RAID,RAID,fireschoolbus1,fireschoolbus1,71,69,11536,2664,
M6,RAID,RAID,vliq3,vliq3,68,79,9449,2074,
M6,RAID,RAID,Bacon_Man5000,Bacon_Man5000,67,74,9205,2550,
M6,RAID,RAID,phlno,s2n_phino,63,79,10936,2388,
M6,RAID,RAID,mollywhopped,mollywhopped,62,72,9607,1738,
M6,RAID,RAID,makomami,makomami,57,91,9322,2436,
M6,RAID,RAID,handprlnt,handprlnt,55,84,7774,2418,
M7,CTF,AST,KHRITUS,khritus,55,,11363,2206,0
M7,CTF,AST,DAHBLUEMAN,Dahblueman,51,,10406,2443,0
M7,CTF,AST,MALIICE,,50,,6991,2421,0
M7,CTF,AST,MENTALMONKEYKING,danlam,49,,11039,3048,0
M7,CTF,AST,EVYJEI,evanvictorjames,43,,10120,3352,0
M7,CTF,AST,VYPRAHUL,Vyprahul,41,,7087,4420,0
M7,CTF,AST,SIEGESQUAD,SiegeSquad,35,,8143,3913,0
M7,CTF,AST,BLGMOP,B1GMOP,34,,5714,3921,0
M7,CTF,AST,OUTCLAIM,outclaim,25,,5786,3989,0
M7,CTF,AST,RAN502,Ran502,17,,2057,1126,0
M7,CTF,AST,DPRSPOOK,,10,,2649,4513,0
M7,CTF,AST,AURELILAN,Aurelilian,9,,2319,4226,0
M7,CTF,INS,RACVK,racvk,55,,11970,2607,0
M7,CTF,INS,COOLANDREWNUMBE,CoolAndrewNumber1,44,,10031,4109,0
M7,CTF,INS,BUCVKS,,43,,9213,2221,0
M7,CTF,INS,IORVDD,lorddicys,42,,10737,2248,0
M7,CTF,INS,8KR6,8kr6,42,,8539,3265,0
M7,CTF,INS,PEEJAYY,,36,,8025,2706,0
M7,CTF,INS,GLORYFICATION,gIoryfication,35,,6606,3713,0
M7,CTF,INS,OT7SURGE,,33,,4686,3067,0
M7,CTF,INS,ANTLCIPATE,,27,,5293,3709,0
M7,CTF,INS,DRNONCHAIANT,,17,,4366,3543,0
